States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,2475.0,2720.0,2286.75,5820.0,11500.0,13260.0,8740.0,6150.0,3452.0,,12013.0,,7798.4,,9044.2,6314.0,3764.0,,1530.0,1520.0,1300.0,700.0,2016-03-02,3
Tamil Nadu,3275.0,2835.0,2496.67,7500.0,6600.0,8750.0,6200.0,5400.0,4315.0,,14112.25,,8811.75,,9120.0,7011.0,4500.0,,1562.5,1300.0,1200.0,2225.0,2017-03-02,3
Tamil Nadu,3126.6,2736.0,2525.0,5580.0,6510.0,6620.0,6770.0,5000.0,3690.0,,12840.6,,8698.4,,9054.2,7172.6,4580.0,,1500.0,1380.0,1560.0,660.0,2018-03-02,3
Tamil Nadu,3080.0,2960.0,2940.0,6260.0,8060.0,7640.0,7740.0,5820.0,3462.0,,14004.0,10000.0,8001.0,,9559.8,7097.2,4280.0,,1602.0,1620.0,980.0,1000.0,2019-03-02,3
Tamil Nadu,2411.0,2640.0,2324.25,5940.0,11425.0,13110.0,8260.0,6700.0,3700.0,,12504.0,,7950.6,,9000.2,6623.0,3667.0,,1530.0,1740.0,1180.0,760.0,2016-04-02,3
Tamil Nadu,3275.0,2810.0,2533.33,7625.0,6850.0,9325.0,6725.0,5700.0,4285.0,,14250.0,,8701.75,,9065.0,6749.25,4375.0,,1562.5,1375.0,1050.0,2025.0,2017-04-02,3
Tamil Nadu,3040.0,2672.0,2525.0,5330.0,6440.0,6460.0,6760.0,4900.0,3468.0,,12884.4,,8940.4,,9153.0,7854.0,4540.0,,1500.0,1560.0,1160.0,940.0,2018-04-02,3
Tamil Nadu,3080.0,2960.0,2900.0,6130.0,8020.0,7420.0,7590.0,5508.0,3446.0,,13867.2,9750.0,8025.0,,9447.6,6753.0,4336.6,,1584.0,1660.0,1000.0,1660.0,2019-04-02,3
Tamil Nadu,2305.0,2637.5,2372.5,7200.0,13375.0,16550.0,8575.0,7350.0,3965.0,,14067.0,,7921.5,,9025.25,6873.25,4093.75,,1525.0,1875.0,1275.0,2775.0,2016-05-02,3
Tamil Nadu,3165.0,2785.0,2600.0,7712.5,6825.0,9425.0,6775.0,5400.0,4215.0,,14422.75,,8639.5,,9065.0,6428.0,4425.0,,1562.5,1400.0,900.0,725.0,2017-05-02,3
Tamil Nadu,3100.0,2660.0,2525.0,5140.0,6260.0,6450.0,6660.0,4750.0,3080.0,,13120.4,,8933.2,,9216.0,8171.4,4440.0,,1500.0,1980.0,1000.0,880.0,2018-05-02,3
Tamil Nadu,3110.0,2930.0,2920.0,6330.0,8130.0,7680.0,7860.0,5548.0,3572.0,,14140.6,9750.0,7650.0,,9542.0,6722.2,4200.0,,1594.0,1800.0,1140.0,3140.0,2019-05-02,3
Tamil Nadu,2484.0,2650.0,2390.0,7585.0,12280.0,15840.0,8200.0,7200.0,3874.0,,14346.2,,8253.6,,9066.2,6832.6,4369.0,,1530.0,2020.0,1180.0,3920.0,2016-06-02,1
Tamil Nadu,3175.0,2740.0,2533.33,7475.0,6025.0,8900.0,6525.0,5000.0,4180.0,,14395.25,,8667.0,,8900.75,6593.0,4675.0,,1537.5,1450.0,1125.0,1150.0,2017-06-02,1
Tamil Nadu,3090.0,2670.0,2525.0,4980.0,6260.0,6530.0,6740.0,4750.0,3094.0,,13411.8,,8911.0,,9362.0,8293.0,4480.0,,1500.0,2040.0,1060.0,1240.0,2018-06-02,1
Tamil Nadu,3170.0,2942.0,2920.0,6330.0,8620.0,8380.0,8300.0,5608.0,3598.0,,14780.0,9500.0,7656.0,,9573.0,6695.4,4313.4,,1587.5,1940.0,1500.0,4170.0,2019-06-02,1
Tamil Nadu,2482.0,2694.0,2442.5,8740.0,12160.0,15440.0,7920.0,7350.0,3890.0,,14839.6,,8231.6,,9054.2,6655.2,4252.0,,1530.0,2020.0,1260.0,2220.0,2016-07-02,1
Tamil Nadu,3335.0,2725.0,2403.33,7300.0,5775.0,8387.5,6112.5,5000.0,4147.5,,13841.5,,8716.5,,8870.75,6418.5,4700.0,,1487.5,1425.0,1075.0,4175.0,2017-07-02,1
Tamil Nadu,3210.0,2692.0,2515.0,4920.0,6240.0,6670.0,6670.0,4800.0,3624.0,,13324.2,,9090.4,,9607.8,8171.8,4360.0,,1500.0,2040.0,1400.0,1480.0,2018-07-02,1
Tamil Nadu,3370.0,2942.0,3084.0,6400.0,8760.0,8640.0,8460.0,5640.0,3560.0,,14859.2,9500.0,7673.6,,9477.0,6653.2,4370.0,,1587.5,1920.0,1820.0,2840.0,2019-07-02,1
Tamil Nadu,2504.0,2720.0,2455.0,10200.0,11730.0,14120.0,7400.0,7600.0,3926.0,,15136.8,,8158.4,,9023.4,6456.8,4299.0,,1540.0,2100.0,1220.0,1000.0,2016-08-02,1
Tamil Nadu,3333.2,2715.0,2533.33,7140.0,5660.0,7740.0,5900.0,4650.0,4068.0,,13962.4,,8445.6,,8791.0,6150.8,4780.0,,1510.0,1340.0,1560.0,4040.0,2017-08-02,1
